2023-01-08 05:33:09.711 -03:00 [Information] [] Starting application
2023-01-08 05:33:10.910 -03:00 [Information] [Hangfire.BackgroundJobServer] Starting Hangfire Server using job storage: 'SQL Server: (localdb)\mssqllocaldb@Scribere'
2023-01-08 05:33:10.914 -03:00 [Information] [Hangfire.BackgroundJobServer] Using the following options for SQL Server job storage: Queue poll interval: 00:00:00.
2023-01-08 05:33:10.915 -03:00 [Information] [Hangfire.BackgroundJobServer] Using the following options for Hangfire Server:
    Worker count: 2
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15
2023-01-08 05:33:11.275 -03:00 [Information] [Hangfire.Server.BackgroundServerProcess] Server isol-mgnt-3325:12240:f9f3382a successfully announced in 274.9879 ms
2023-01-08 05:33:11.383 -03:00 [Information] [Hangfire.Server.BackgroundServerProcess] Server isol-mgnt-3325:12240:f9f3382a is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, CountersAggregator, SqlServerHeartbeatProcess, Worker, DelayedJobScheduler, RecurringJobScheduler...
2023-01-08 05:33:11.451 -03:00 [Information] [Hangfire.Server.BackgroundServerProcess] Server isol-mgnt-3325:12240:f9f3382a all the dispatchers started
2023-01-08 10:11:40.204 -03:00 [Information] [] Starting application
2023-01-08 10:11:40.540 -03:00 [Information] [Hangfire.BackgroundJobServer] Starting Hangfire Server using job storage: 'SQL Server: (localdb)\mssqllocaldb@Scribere'
2023-01-08 10:11:40.545 -03:00 [Information] [Hangfire.BackgroundJobServer] Using the following options for SQL Server job storage: Queue poll interval: 00:00:00.
2023-01-08 10:11:40.546 -03:00 [Information] [Hangfire.BackgroundJobServer] Using the following options for Hangfire Server:
    Worker count: 2
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15
2023-01-08 10:11:40.686 -03:00 [Information] [Hangfire.Server.BackgroundServerProcess] Server isol-mgnt-3325:7792:57cccc64 successfully announced in 44.0577 ms
2023-01-08 10:11:40.710 -03:00 [Information] [Hangfire.Server.BackgroundServerProcess] Server isol-mgnt-3325:7792:57cccc64 is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, CountersAggregator, SqlServerHeartbeatProcess, Worker, DelayedJobScheduler, RecurringJobScheduler...
2023-01-08 10:11:40.735 -03:00 [Information] [Hangfire.Server.BackgroundServerProcess] Server isol-mgnt-3325:7792:57cccc64 all the dispatchers started
2023-01-08 10:11:40.742 -03:00 [Information] [Hangfire.Server.ServerWatchdog] 1 servers were removed due to timeout
2023-01-08 10:12:02.062 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/" responded 200 in 19740.3317 ms
2023-01-08 10:12:09.151 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/img/icon192x192.png" responded 404 in 0.1522 ms
2023-01-08 10:12:09.890 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 730.1627 ms
2023-01-08 10:12:10.659 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/serviceworker" responded 200 in 11.7437 ms
2023-01-08 10:25:41.715 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/administration/dashboard" responded 200 in 438.1609 ms
2023-01-08 10:25:42.612 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/administration/img/logo-light.png" responded 404 in 0.9341 ms
2023-01-08 10:25:42.624 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/administration/img/!sample-user.jpg" responded 404 in 0.0273 ms
2023-01-08 10:25:42.625 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/administration/img/!logged-user.jpg" responded 404 in 0.0281 ms
2023-01-08 10:25:42.647 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 21.7870 ms
2023-01-08 10:25:42.647 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 21.4893 ms
2023-01-08 10:25:42.649 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 23.6294 ms
2023-01-08 10:25:43.645 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/img/icon192x192.png" responded 404 in 0.1653 ms
2023-01-08 10:25:43.667 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 20.9675 ms
2023-01-08 10:25:45.234 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/serviceworker" responded 200 in 3.4842 ms
2023-01-08 10:25:45.841 -03:00 [Information] [KOM.Scribere.Web.Areas.Administration.Controllers.BlogController] Displaying list of blog posts
2023-01-08 10:25:46.138 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/administration/blog" responded 200 in 329.4622 ms
2023-01-08 10:25:46.612 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/administration/img/logo-light.png" responded 404 in 0.0229 ms
2023-01-08 10:25:46.626 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 13.6594 ms
2023-01-08 10:25:46.688 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/administration/img/!logged-user.jpg" responded 404 in 0.0271 ms
2023-01-08 10:25:46.688 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/administration/img/!sample-user.jpg" responded 404 in 0.0271 ms
2023-01-08 10:25:46.704 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 15.0837 ms
2023-01-08 10:25:46.717 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 28.2831 ms
2023-01-08 10:25:47.752 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/img/icon192x192.png" responded 404 in 0.0199 ms
2023-01-08 10:25:47.761 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 8.7188 ms
2023-01-08 10:25:48.866 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/serviceworker" responded 200 in 1.9617 ms
2023-01-08 10:25:49.713 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/blog/edit" responded 200 in 988.7241 ms
2023-01-08 10:25:50.291 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/blog/img/logo-light.png" responded 404 in 0.0249 ms
2023-01-08 10:25:50.297 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/blog/img/!sample-user.jpg" responded 404 in 0.0280 ms
2023-01-08 10:25:50.323 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 25.2544 ms
2023-01-08 10:25:50.337 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 45.3417 ms
2023-01-08 10:25:50.365 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/blog/img/!logged-user.jpg" responded 404 in 0.0251 ms
2023-01-08 10:25:50.366 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/blog/edit" responded 200 in 53.5197 ms
2023-01-08 10:25:50.399 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 33.8305 ms
2023-01-08 10:25:50.423 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/blog/img/!sample-user.jpg" responded 404 in 0.1247 ms
2023-01-08 10:25:50.441 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 17.7064 ms
2023-01-08 10:25:50.967 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/lib/tinymce/plugins/paste/plugin.min.js" responded 404 in 0.0244 ms
2023-01-08 10:25:50.976 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 9.3672 ms
2023-01-08 10:25:53.001 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/img/icon192x192.png" responded 404 in 0.0321 ms
2023-01-08 10:25:53.015 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 14.0749 ms
2023-01-08 10:25:54.614 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/serviceworker" responded 200 in 0.9154 ms
2023-01-08 10:28:43.473 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/blog/edit" responded 200 in 485.8238 ms
2023-01-08 10:28:44.397 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/blog/img/logo-light.png" responded 404 in 0.0524 ms
2023-01-08 10:28:44.398 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/blog/img/!logged-user.jpg" responded 404 in 0.0136 ms
2023-01-08 10:28:44.426 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 28.0382 ms
2023-01-08 10:28:44.426 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 28.0382 ms
2023-01-08 10:28:44.427 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/blog/img/!sample-user.jpg" responded 404 in 0.0261 ms
2023-01-08 10:28:44.499 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/blog/edit" responded 200 in 56.3405 ms
2023-01-08 10:28:44.502 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 66.7151 ms
2023-01-08 10:28:44.790 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/lib/tinymce/plugins/paste/plugin.min.js" responded 404 in 0.0272 ms
